,;,{,},var,=,||,&&,comp_operator,pm_operator,md_operator,(,type_name,),const,prefix_operator,unary_operator,-|,
STATS,,shift,shift,shift,,,,,,,,,,,,,reduce,
STAT,,reduce,reduce,reduce,,,,,,,,,,,,,reduce,
ASSIGNMENT_EXP,shift,,,,,,,,,,,,,,,,,
OR_EXPRESSION,reduce,,,,,,,,,,,,,,,,,
AND_EXPRESSION,reduce,,,,,shift,,,,,,,,,,,,
EXPRESSION,reduce,,,,,reduce,,,,,,,,,,,,
LOG_EXP,reduce,,,,,reduce,shift,,,,,,,,,,,
ADDITIVE_EXP,reduce,,,,,reduce,reduce,shift,shift,,,,,,,,,
MULT_EXP,reduce,,,,,reduce,reduce,reduce,reduce,shift,,,,,,,,
CAST_EXP,reduce,,,,,reduce,reduce,reduce,reduce,reduce,,,,,,,,
UNARY_EXP,reduce,,,,,reduce,reduce,reduce,reduce,reduce,,,,,,,,
;,,reduce,reduce,reduce,,,,,,,,,,,,,reduce,
{,,shift,,shift,,,,,,,,,,,,,,
},,reduce,reduce,reduce,,,,,,,,,,,,,reduce,
var,reduce,,,,shift,reduce,reduce,reduce,reduce,reduce,,,,,,,,
=,,,,shift,,,,,,,shift,,,shift,shift,shift,,
||,,,,,,,,,,,,,,,,,,
&&,,,,,,,,,,,,,,,,,,
comp_operator,,,,shift,,,,,,,shift,,,shift,shift,shift,,
pm_operator,,,,shift,,,,,,,shift,,,shift,shift,shift,,
md_operator,,,,shift,,,,,,,shift,,,shift,shift,shift,,
(,,,,,,,,,,,,shift,,,,,,
type_name,,,,,,,,,,,,,shift,,,,,
),,,,shift,,,,,,,shift,,,shift,shift,shift,,
const,reduce,,,,,reduce,reduce,reduce,reduce,reduce,,,,,,,,
prefix_operator,,,,shift,,,,,,,,,,shift,shift,shift,,
unary_operator,,,,shift,,,,,,,shift,,,shift,shift,shift,,
nabla,,shift,,shift,,,,,,,,,,,,,,
